     8.7500   -7.383709E-02  1.015031E-01  3.688453E+01
     8.8000   -5.388142E-02  9.140054E-02  3.706866E+01
     8.8500   -3.810536E-02  8.324513E-02  3.722365E+01
     8.9000   -2.635777E-02  7.768795E-02  3.735296E+01
     8.9500   -1.718667E-02  7.512806E-02  3.746830E+01
     9.0000   -8.436641E-03  7.550489E-02  3.758714E+01
     9.0500    2.092771E-03  7.847064E-02  3.772578E+01
     9.1000    1.592575E-02  8.299233E-02  3.789220E+01
     9.1500    3.331536E-02  8.823148E-02  3.808630E+01
     9.2000    5.317635E-02  9.349297E-02  3.830413E+01
     9.2500    7.327125E-02  9.825376E-02  3.854075E+01
     9.3000    9.068062E-02  1.021411E-01  3.879165E+01
     9.3500    1.024447E-01  1.049012E-01  3.905307E+01
     9.4000    1.062282E-01  1.063723E-01  3.932198E+01
     9.4500    1.008588E-01  1.064655E-01  3.959589E+01
     9.5000    8.662042E-02  1.051515E-01  3.987268E+01
     9.5500    6.514631E-02  1.025387E-01  4.015226E+01
     9.6000    3.930058E-02  9.855600E-02  4.043054E+01
     9.6500    1.259969E-02  9.331720E-02  4.070527E+01
     9.7000   -1.153923E-02  8.697918E-02  4.097376E+01
     9.7500   -3.044825E-02  7.974643E-02  4.123246E+01
     9.8000   -4.268126E-02  7.188187E-02  4.147644E+01
     9.8500   -4.821180E-02  6.372890E-02  4.169867E+01
     9.9000   -4.832002E-02  5.575071E-02  4.188928E+01
     9.9500   -4.520099E-02  4.858857E-02  4.203588E+01
    10.0000   -4.138670E-02  4.310368E-02  4.212830E+01
    10.0500   -3.906834E-02  4.023180E-02  4.217042E+01
    10.1000   -3.980940E-02  4.074527E-02  4.219676E+01
    10.1500   -4.391614E-02  4.444725E-02  4.225676E+01
    10.2000   -5.036003E-02  5.039339E-02  4.237511E+01
    10.2500   -5.699876E-02  5.753751E-02  4.254845E+01
    10.3000   -6.107601E-02  6.507043E-02  4.276371E+01
    10.3500   -5.989084E-02  7.243105E-02  4.300878E+01
    10.4000   -5.148856E-02  7.923209E-02  4.327492E+01
    10.4500   -3.521675E-02  8.519902E-02  4.355617E+01
    10.5000   -1.201738E-02  9.013292E-02  4.384857E+01
    10.5500    1.561941E-02  9.388954E-02  4.414943E+01
    10.6000    4.404181E-02  9.636757E-02  4.445694E+01
    10.6500    6.909146E-02  9.750179E-02  4.476983E+01
    10.7000    8.689663E-02  9.725893E-02  4.508728E+01
    10.7500    9.464016E-02  9.563483E-02  4.540874E+01
    10.8000    9.114128E-02  9.265223E-02  4.573394E+01
    10.8500    7.712624E-02  8.835903E-02  4.606283E+01
    10.9000    5.512571E-02  8.282659E-02  4.639565E+01
    10.9500    2.901322E-02  7.614832E-02  4.673300E+01
    11.0000    3.273194E-03  6.843872E-02  4.707604E+01
    11.0500   -1.809903E-02  6.016811E-02  4.742943E+01
    11.1000   -3.179401E-02  5.109294E-02  4.779554E+01
    11.1500   -3.610665E-02  4.140284E-02  4.818333E+01
    11.2000   -3.127431E-02  3.137699E-02  4.861376E+01
    11.2500   -1.941589E-02  2.157130E-02  4.914553E+01
    11.3000   -4.091425E-03  1.373671E-02  4.996305E+01
    11.3500    1.043304E-02  1.316034E-02  5.118081E+01
    11.4000    2.006989E-02  2.056424E-02  5.205599E+01
    11.4500    2.176672E-02  3.045130E-02  5.261073E+01
    11.5000    1.416280E-02  4.076824E-02  5.305228E+01
    11.5500   -2.088596E-03  5.089743E-02  5.344812E+01
    11.6000   -2.439963E-02  6.054753E-02  5.382185E+01
    11.6500   -4.871670E-02  6.952857E-02  5.418341E+01
    11.7000   -7.028865E-02  7.769593E-02  5.453766E+01
    11.7500   -8.458455E-02  8.493327E-02  5.488722E+01
    11.8000   -8.818171E-02  9.114654E-02  5.523363E+01
    11.8500   -7.945002E-02  9.626187E-02  5.557784E+01
    11.9000   -5.889955E-02  1.002248E-01  5.592049E+01
    11.9500   -2.912443E-02  1.029998E-01  5.626200E+01
    12.0000    5.644814E-03  1.045703E-01  5.660268E+01
    12.0500    4.054006E-02  1.053870E-01  5.694353E+01
    12.1000    7.046346E-02  1.050439E-01  5.728396E+01
    12.1500    9.111509E-02  1.035638E-01  5.762410E+01
    12.2000    9.976882E-02  1.009853E-01  5.796409E+01
    12.2500    9.570798E-02  9.736174E-02  5.830404E+01
    12.3000    8.028622E-02  9.276035E-02  5.864407E+01
    12.3500    5.661115E-02  8.726093E-02  5.898431E+01
    12.4000    2.892094E-02  8.095449E-02  5.932494E+01
    12.4500    1.780307E-03  7.394176E-02  5.966618E+01
    12.5000   -2.074629E-02  6.633155E-02  6.000836E+01
    12.5500   -3.578747E-02  5.823913E-02  6.035200E+01
    12.6000   -4.209794E-02  4.978470E-02  6.069795E+01
