Ritsumeikan University SR Center BL-10
18121210.dat
2018/12/12,17:14:20,17:32:54
コメント:,CaCO3
分光結晶:,Si(220), 2d= 0.384 nm
測定モード:,PhotonEnergy
ブロック数:,8
全測定点数:,246
 ,BorderAngle,BorderPE,DivNum,Step,Waiting(sec),Dwell(sec)
Block 0,53.82217,4000
Block 1,53.43417,4020,10,2,1,3
Block 2,53.33832,4025,10,0.5,1,3
Block 3,52.94064,4046,105,0.2,1,3
Block 4,52.79118,4054,25,0.32,1,3
Block 5,52.42229,4074,40,0.5,1,3
Block 6,51.95261,4100,20,1.3,1,3
Block 7,51.42392,4130,15,2,1,3
Block 8,50.24188,4200,20,3.5,1,3

Calculatedθ(deg.),Observedθ(deg.),hν(eV),Io(cps), SDD1(cps),SDD2(cps),SDD3(cps),TEY(cps),PEY(cps),Transmission(cps),RingCurrent(mA)
53.11768, 53.11806, 4036.58, 2338, 61367.33, 47252, 72984.34, 2954.667, 0, 0, 75.638
53.11390, 53.11389, 4036.80, 2336.333, 62404.67, 47929.67, 74129.34, 3001.333, 0, 0, 75.724
53.11012, 53.11000, 4037.01, 2335.333, 63346, 48716, 75306.34, 3027, 0, 0, 75.59766
53.10633, 53.10667, 4037.18, 2335, 63458, 48658.67, 75480, 3036.667, 0, 0, 75.684
53.10256, 53.10278, 4037.39, 2334.667, 64001.33, 49262.67, 76150.34, 3036.667, 0, 0, 75.68467
53.09877, 53.09917, 4037.58, 2333, 64069.67, 49136.67, 76186.66, 3023, 0, 0, 75.80666
53.09499, 53.09528, 4037.79, 2331.333, 63652.33, 48987, 75760.34, 2998.667, 0, 0, 75.67467
53.09122, 53.09111, 4038.01, 2331, 63445.33, 48748, 75423.34, 2964.333, 0, 0, 75.60833
53.08744, 53.08750, 4038.20, 2330, 63100.33, 48619.33, 74969.66, 2926, 0, 0, 75.61367
53.08366, 53.08389, 4038.39, 2328, 62296.67, 47738, 74176.34, 2881.667, 0, 0, 75.51733
53.07988, 53.08028, 4038.58, 2327.333, 61749.67, 47649.67, 73395, 2836.667, 0, 0, 75.638
53.07610, 53.07639, 4038.79, 2327, 61056.67, 46958.67, 72518.66, 2785, 0, 0, 75.66033
53.07233, 53.07250, 4038.99, 2326.333, 59948.33, 46125.33, 71237.34, 2726.333, 0, 0, 75.61733
53.06856, 53.06861, 4039.20, 2325.667, 59187.67, 45534, 70337.34, 2667, 0, 0, 75.465
53.06479, 53.06472, 4039.40, 2322.667, 58326.33, 44783, 69152, 2599, 0, 0, 75.578
53.06101, 53.06111, 4039.60, 2322.333, 56683, 43360, 67409, 2534, 0, 0, 75.64167
53.05724, 53.05750, 4039.79, 2321.667, 55473, 42577.67, 66017.34, 2460.333, 0, 0, 75.66766
53.05347, 53.05361, 4039.99, 2321.333, 53640, 41195, 63870.33, 2385.333, 0, 0, 75.57567
53.04970, 53.04972, 4040.20, 2321, 52437.67, 40294.33, 62396.33, 2312, 0, 0, 75.42567
53.04593, 53.04583, 4040.41, 2320.333, 50841, 39071, 60443.67, 2241.667, 0, 0, 75.57867
53.04215, 53.04222, 4040.60, 2317.667, 49625.67, 38110.67, 58943.33, 2179.333, 0, 0, 75.675
53.03839, 53.03833, 4040.80, 2316.333, 48443.33, 37140.67, 57639, 2123, 0, 0, 75.521
53.03462, 53.03500, 4040.98, 2316, 47552.33, 36407.67, 56517.33, 2075.333, 0, 0, 75.389
53.03085, 53.03111, 4041.19, 2315, 46389, 35641.67, 55174.67, 2034.667, 0, 0, 75.56133
53.02708, 53.02750, 4041.38, 2314.333, 45776, 35236.33, 54464.67, 2006.333, 0, 0, 75.57267
53.02332, 53.02361, 4041.58, 2313, 45419.33, 34951, 53977, 1982, 0, 0, 75.58533
53.01955, 53.01944, 4041.81, 2312.667, 45338.33, 34923.33, 53852, 1970, 0, 0, 75.42167
53.01579, 53.01611, 4041.98, 2312.667, 45122, 34805.33, 53629.67, 1965, 0, 0, 75.49934
53.01202, 53.01222, 4042.19, 2311.667, 45189.33, 34821.67, 53726, 1966.667, 0, 0, 75.47733
53.00826, 53.00861, 4042.38, 2313, 45704, 35127.33, 54263.33, 1973.667, 0, 0, 75.42333
53.00450, 53.00472, 4042.59, 2311, 45998, 35358.67, 54514.67, 1985.333, 0, 0, 75.457
53.00074, 53.00083, 4042.80, 2309.667, 46206, 35651.67, 54989.33, 2000.333, 0, 0, 75.46267
52.99698, 52.99694, 4043.00, 2306.667, 46891.67, 36100.33, 55697, 2016.667, 0, 0, 75.46167
52.99322, 52.99361, 4043.18, 2308.667, 47258.33, 36373.67, 56184.33, 2037, 0, 0, 75.37067
52.98946, 52.98944, 4043.40, 2308.333, 47762.33, 36680, 56829.33, 2058, 0, 0, 75.40134
52.98569, 52.98611, 4043.58, 2307.667, 48274.33, 37084.33, 57379.67, 2079, 0, 0, 75.478
52.98194, 52.98222, 4043.79, 2306, 48863, 37616.33, 58068, 2103, 0, 0, 75.45667
52.97818, 52.97805, 4044.01, 2307, 49314.33, 37945.67, 58527.67, 2127, 0, 0, 75.434
52.97442, 52.97472, 4044.18, 2305, 50065, 38513.33, 59526.33, 2147.333, 0, 0, 75.45866
52.97067, 52.97055, 4044.41, 2304.667, 50690.67, 38934.33, 60354, 2171.333, 0, 0, 75.36234
52.96691, 52.96722, 4044.58, 2303.667, 51001.33, 39291, 60702, 2190.667, 0, 0, 75.47266
52.96316, 52.96333, 4044.79, 2303.333, 51701, 39788.67, 61375.33, 2213.667, 0, 0, 75.437
52.95940, 52.95945, 4045.00, 2302.667, 52576.33, 40438.67, 62319, 2233, 0, 0, 75.426
52.95565, 52.95583, 4045.19, 2301.667, 52755.33, 40444.67, 62720, 2253.333, 0, 0, 75.554
52.95190, 52.95222, 4045.38, 2300, 53264.67, 41044.67, 63292.67, 2271, 0, 0, 75.35533
52.94814, 52.94833, 4045.59, 2298.333, 53778.67, 41397.33, 63963.67, 2289, 0, 0, 75.40067
52.94439, 52.94444, 4045.80, 2297, 54212.33, 41721.33, 64590.67, 2306.667, 0, 0, 75.42567
52.94064, 52.94083, 4045.99, 2294, 54578, 42039.67, 64794.67, 2321, 0, 0, 75.37334
52.93464, 52.93472, 4046.32, 2295, 55405.67, 42625.33, 65778.66, 2347.667, 0, 0, 75.295
52.92865, 52.92861, 4046.64, 2295, 56029.33, 42949, 66557, 2372, 0, 0, 75.262
52.92265, 52.92305, 4046.94, 2292.333, 56303.33, 43295.67, 66802.34, 2390.333, 0, 0, 75.24667
52.91666, 52.91694, 4047.27, 2289.667, 56917.33, 43704.33, 67553.34, 2407.333, 0, 0, 75.236
52.91066, 52.91056, 4047.61, 2288.667, 57213, 44015.33, 67986, 2419, 0, 0, 75.30133
52.90467, 52.90472, 4047.92, 2288, 57497.33, 44209.67, 68369, 2425.667, 0, 0, 75.38067
52.89868, 52.89861, 4048.24, 2287, 57449, 44154.33, 68264.34, 2427, 0, 0, 75.35833
52.89269, 52.89305, 4048.54, 2285.333, 57699, 44309, 68602.34, 2423.333, 0, 0, 75.391
52.88671, 52.88667, 4048.88, 2284.333, 57523.33, 44098.67, 68324.34, 2413, 0, 0, 75.24567
52.88073, 52.88083, 4049.19, 2285.667, 57318.67, 43976, 68202.66, 2399.333, 0, 0, 75.29633
52.87474, 52.87472, 4049.52, 2284, 57125.33, 43988.33, 67791.66, 2378.333, 0, 0, 75.314
52.86876, 52.86889, 4049.83, 2283.333, 56220, 43078, 66928.34, 2352.333, 0, 0, 75.31934
52.86279, 52.86306, 4050.15, 2282.667, 55776.33, 42921.33, 66333, 2317.667, 0, 0, 75.312
52.85681, 52.85722, 4050.46, 2280.667, 55120.67, 42288.67, 65494, 2276.667, 0, 0, 75.31767
52.85083, 52.85083, 4050.80, 2278, 53962, 41457.33, 64074, 2225, 0, 0, 75.324
52.84486, 52.84472, 4051.13, 2279, 52669.67, 40434, 62515, 2169.667, 0, 0, 75.30933
52.83889, 52.83889, 4051.44, 2278, 51482.67, 39536.33, 61201.67, 2112.333, 0, 0, 75.29066
52.83292, 52.83306, 4051.75, 2276, 49851.67, 38250, 59311.33, 2051.333, 0, 0, 75.25767
52.82695, 52.82722, 4052.07, 2276, 48532, 37300.67, 57642, 1993.333, 0, 0, 75.19633
52.82099, 52.82111, 4052.39, 2273, 47174, 36169.33, 56046.33, 1934, 0, 0, 75.22234
52.81502, 52.81500, 4052.72, 2271.667, 45705.67, 35041.33, 54347.67, 1880.667, 0, 0, 75.225
52.80906, 52.80917, 4053.03, 2269.667, 44336.33, 34054.33, 52726.33, 1832.667, 0, 0, 75.27966
52.80309, 52.80333, 4053.35, 2269.333, 43461.67, 33463.67, 51561, 1788.333, 0, 0, 75.31866
52.79714, 52.79750, 4053.66, 2266.667, 42494.67, 32592.67, 50538.33, 1750.333, 0, 0, 75.2
52.79118, 52.79111, 4054.00, 2266, 41304.67, 31719.67, 49024, 1715, 0, 0, 75.264
52.78188, 52.78222, 4054.48, 2263.667, 39883.67, 30610, 47474.67, 1670.667, 0, 0, 75.24367
52.77258, 52.77250, 4055.00, 2262, 39041, 29874.33, 46445.67, 1630, 0, 0, 75.21167
52.76328, 52.76333, 4055.50, 2260, 38000, 29208.67, 45025, 1596, 0, 0, 75.239
52.75399, 52.75389, 4056.01, 2256.333, 37114.67, 28501.33, 44147.67, 1563.333, 0, 0, 75.19133
52.74470, 52.74472, 4056.50, 2257.667, 36350.67, 27887.67, 43248, 1540.333, 0, 0, 75.13267
52.73542, 52.73528, 4057.01, 2254.333, 35817.33, 27388.67, 42473.33, 1520.667, 0, 0, 75.16167
52.72614, 52.72611, 4057.50, 2251.667, 35433, 27211, 42097, 1508.667, 0, 0, 75.206
52.71686, 52.71722, 4057.98, 2250.333, 35339.67, 27186.33, 42000, 1504.333, 0, 0, 75.269
52.70759, 52.70778, 4058.49, 2250.333, 35290.67, 27180.67, 41880, 1505.667, 0, 0, 75.24934
52.69832, 52.69861, 4058.98, 2246, 35390.67, 27185.33, 42146, 1511, 0, 0, 75.29
52.68906, 52.68945, 4059.48, 2245, 35543.67, 27350, 42243.33, 1517.667, 0, 0, 75.191
52.67981, 52.68000, 4059.99, 2244, 35883.67, 27500.67, 42623.33, 1527, 0, 0, 75.152
52.67055, 52.67056, 4060.50, 2242, 36046.67, 27748, 42832.67, 1536, 0, 0, 75.13533
52.66130, 52.66139, 4061.00, 2239.667, 36573.67, 27994, 43449.67, 1550, 0, 0, 75.19267
52.65205, 52.65222, 4061.49, 2238, 37220, 28622, 44204, 1570.333, 0, 0, 75.158
52.64282, 52.64305, 4061.99, 2236.667, 37986, 29204.33, 45023.67, 1595, 0, 0, 75.178
52.63358, 52.63389, 4062.48, 2235.667, 38602.33, 29684.33, 45790.33, 1620.333, 0, 0, 75.08234
52.62435, 52.62472, 4062.98, 2230.333, 39478.33, 30381, 46877.33, 1642.667, 0, 0, 75.07
52.61512, 52.61528, 4063.49, 2227.667, 39918.33, 30693.33, 47374, 1661.667, 0, 0, 75.21333
52.60590, 52.60611, 4063.99, 2228.667, 40225.33, 30861.33, 47813.33, 1681, 0, 0, 75.12233
52.59667, 52.59667, 4064.50, 2226.333, 40643.67, 31154.67, 48178.33, 1695.667, 0, 0, 75.08334
52.58746, 52.58778, 4064.98, 2223.667, 41039.67, 31584, 48698.33, 1709.333, 0, 0, 75.06633
52.57825, 52.57861, 4065.48, 2224, 41348.67, 31743.67, 48976.33, 1726.667, 0, 0, 75.098
52.56904, 52.56917, 4065.99, 2221.333, 41912, 32185.67, 49698, 1746, 0, 0, 75.06734
52.55983, 52.56000, 4066.49, 2219.333, 42507, 32601.33, 50493.33, 1765.333, 0, 0, 75.12233
52.55064, 52.55083, 4066.99, 2216.667, 43082.67, 33007.67, 51134.67, 1784.333, 0, 0, 75.16233
52.54144, 52.54167, 4067.49, 2216.333, 43595.33, 33520, 51748, 1799, 0, 0, 75.02734
52.53226, 52.53250, 4067.99, 2213.667, 43650.33, 33416.67, 51784.67, 1806.333, 0, 0, 75.19
52.52307, 52.52333, 4068.49, 2212, 43762.67, 33514, 52044, 1808.333, 0, 0, 75.17767
52.51389, 52.51389, 4069.00, 2210, 43558, 33419.67, 51569.33, 1804, 0, 0, 75.19133
52.50470, 52.50500, 4069.48, 2210.333, 43632.67, 33574.33, 51739.33, 1797, 0, 0, 75.086
52.49553, 52.49583, 4069.98, 2206, 43320.33, 33194.33, 51475, 1787.667, 0, 0, 75.13367
52.48636, 52.48639, 4070.50, 2203, 43117, 33125, 51181, 1779.667, 0, 0, 75.14667
52.47720, 52.47750, 4070.98, 2203.333, 43032, 33075.67, 51036.67, 1773.333, 0, 0, 74.977
52.46804, 52.46833, 4071.48, 2201.333, 42739.67, 32852, 50755.33, 1769, 0, 0, 74.96733
52.45888, 52.45917, 4071.98, 2198.667, 42828, 32899.33, 50790.33, 1765.333, 0, 0, 74.97867
52.44973, 52.45000, 4072.49, 2196.667, 42731, 32882.67, 50747, 1766.333, 0, 0, 75.04
52.44058, 52.44083, 4072.99, 2194.333, 42780, 32926, 50797.33, 1766.333, 0, 0, 75.03833
52.43143, 52.43167, 4073.49, 2192.333, 42958.33, 33004.33, 51004.33, 1768.333, 0, 0, 75.046
52.42229, 52.42250, 4073.99, 2190.333, 42992, 33032, 51025.67, 1773.667, 0, 0, 75.10367
