  9809     SPring-8 14b2 
 Ni-K_HAVAR_Si3  20.02.14 00:10 - 20.02.14 00:13
 HAVAR                                                                           
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 28.38972 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4460
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       28.24000  22.58500    -0.001270       0.05      4460
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0    47.500   119.700
  27.82344  27.82710     0.050      3644      1596
  27.82217  27.82573     0.050      3647      1600
  27.82090  27.82445     0.050      3647      1601
  27.81963  27.82329     0.050      3646      1598
  27.81836  27.82220     0.050      3656      1604
  27.81709  27.82108     0.050      3649      1600
  27.81582  27.81981     0.050      3651      1601
  27.81455  27.81842     0.050      3656      1604
  27.81328  27.81701     0.050      3664      1608
  27.81201  27.81565     0.050      3657      1607
  27.81074  27.81438     0.050      3657      1607
  27.80947  27.81323     0.050      3673      1612
  27.80820  27.81214     0.050      3662      1609
  27.80693  27.81102     0.050      3658      1608
  27.80566  27.80975     0.050      3673      1614
  27.80439  27.80835     0.050      3672      1615
  27.80312  27.80694     0.050      3663      1611
  27.80185  27.80558     0.050      3671      1611
  27.80058  27.80432     0.050      3680      1617
  27.79931  27.80317     0.050      3670      1615
  27.79804  27.80208     0.050      3666      1614
  27.79677  27.80095     0.050      3677      1620
  27.79550  27.79966     0.050      3675      1616
  27.79423  27.79825     0.050      3663      1613
  27.79296  27.79684     0.050      3674      1617
  27.79169  27.79548     0.050      3678      1620
  27.79042  27.79423     0.050      3672      1618
  27.78915  27.79308     0.050      3678      1620
  27.78788  27.79200     0.050      3691      1626
  27.78661  27.79086     0.050      3681      1622
  27.78534  27.78957     0.050      3677      1620
  27.78407  27.78816     0.050      3692      1628
  27.78280  27.78676     0.050      3691      1626
  27.78153  27.78541     0.050      3682      1624
  27.78026  27.78416     0.050      3692      1629
  27.77899  27.78302     0.050      3698      1631
  27.77772  27.78193     0.050      3690      1629
  27.77645  27.78079     0.050      3680      1626
  27.77518  27.77948     0.050      3699      1634
  27.77391  27.77806     0.050      3703      1636
  27.77264  27.77666     0.050      3694      1632
  27.77137  27.77532     0.050      3700      1635
  27.77010  27.77408     0.050      3707      1639
  27.76883  27.77294     0.050      3702      1637
  27.76756  27.77185     0.050      3692      1634
  27.76629  27.77069     0.050      3710      1640
  27.76502  27.76936     0.050      3709      1639
  27.76375  27.76794     0.050      3697      1636
  27.76248  27.76655     0.050      3706      1640
  27.76121  27.76521     0.050      3715      1644
  27.75994  27.76398     0.050      3707      1641
  27.75867  27.76285     0.050      3703      1639
  27.75740  27.76176     0.050      3720      1648
  27.75613  27.76060     0.050      3715      1644
  27.75486  27.75928     0.050      3709      1642
  27.75359  27.75786     0.050      3718      1646
  27.75232  27.75646     0.050      3726      1654
  27.75105  27.75513     0.050      3712      1645
  27.74978  27.75391     0.050      3715      1650
  27.74851  27.75279     0.050      3729      1655
  27.74724  27.75170     0.050      3719      1649
  27.74597  27.75053     0.050      3718      1649
  27.74470  27.74919     0.050      3729      1655
  27.74343  27.74776     0.050      3735      1660
  27.74216  27.74637     0.050      3718      1650
  27.74089  27.74505     0.050      3728      1654
  27.73962  27.74382     0.050      3735      1659
  27.73835  27.74271     0.050      3724      1656
  27.73708  27.74161     0.050      3725      1656
  27.73581  27.74042     0.050      3741      1666
  27.73454  27.73907     0.050      3739      1663
  27.73327  27.73765     0.050      3725      1658
  27.73200  27.73626     0.050      3739      1663
  27.73073  27.73494     0.050      3744      1668
  27.72946  27.73374     0.050      3731      1661
  27.72819  27.73263     0.050      3736      1664
  27.72692  27.73154     0.050      3749      1672
  27.72565  27.73034     0.050      3740      1668
  27.72438  27.72899     0.050      3736      1667
  27.72311  27.72756     0.050      3752      1673
  27.72184  27.72618     0.050      3752      1674
  27.72057  27.72487     0.050      3742      1670
  27.71930  27.72366     0.050      3748      1674
  27.71803  27.72256     0.050      3764      1681
  27.71676  27.72146     0.050      3746      1675
  27.71549  27.72024     0.050      3745      1674
  27.71422  27.71888     0.050      3757      1680
  27.71295  27.71746     0.050      3758      1680
  27.71168  27.71607     0.050      3750      1679
  27.71041  27.71476     0.050      3758      1682
  27.70914  27.71357     0.050      3766      1685
  27.70787  27.71246     0.050      3759      1682
  27.70660  27.71136     0.050      3770      1689
  27.70533  27.71013     0.050      3768      1689
  27.70406  27.70876     0.050      3770      1688
  27.70279  27.70734     0.050      3760      1687
  27.70152  27.70596     0.050      3769      1692
  27.70025  27.70467     0.050      3772      1692
  27.69898  27.70348     0.050      3763      1689
  27.69771  27.70239     0.050      3768      1692
  27.69644  27.70128     0.050      3779      1698
  27.69517  27.70005     0.050      3766      1694
  27.69390  27.69866     0.050      3774      1696
  27.69263  27.69724     0.050      3776      1699
  27.69136  27.69588     0.050      3781      1703
  27.69009  27.69459     0.050      3772      1699
  27.68882  27.69341     0.050      3784      1704
  27.68755  27.69231     0.050      3783      1705
  27.68628  27.69120     0.050      3778      1703
  27.68501  27.68995     0.050      3785      1709
  27.68374  27.68855     0.050      3788      1709
  27.68247  27.68713     0.050      3788      1710
  27.68120  27.68576     0.050      3781      1709
  27.67993  27.68447     0.050      3786      1713
  27.67866  27.68331     0.050      3791      1715
  27.67739  27.68222     0.050      3790      1714
  27.67612  27.68110     0.050      3788      1713
  27.67485  27.67984     0.050      3798      1719
  27.67358  27.67844     0.050      3792      1720
  27.67231  27.67702     0.050      3787      1719
  27.67104  27.67566     0.050      3797      1721
  27.66977  27.67440     0.050      3791      1721
  27.66850  27.67324     0.050      3775      1713
  27.66723  27.67215     0.050      3789      1720
  27.66596  27.67102     0.050      3805      1729
  27.66469  27.66974     0.050      3803      1729
  27.66342  27.66834     0.050      3803      1729
  27.66215  27.66692     0.050      3810      1733
  27.66088  27.66557     0.050      3811      1737
  27.65961  27.66430     0.050      3804      1732
  27.65834  27.66315     0.050      3814      1740
  27.65707  27.66206     0.050      3816      1740
  27.65580  27.66093     0.050      3808      1738
  27.65453  27.65963     0.050      3818      1743
  27.65326  27.65821     0.050      3821      1745
  27.65199  27.65680     0.050      3821      1748
  27.65072  27.65545     0.050      3816      1747
  27.64945  27.65419     0.050      3826      1750
  27.64818  27.65305     0.050      3830      1753
  27.64691  27.65197     0.050      3821      1750
  27.64564  27.65082     0.050      3827      1755
  27.64437  27.64952     0.050      3830      1757
  27.64310  27.64811     0.050      3828      1756
  27.64183  27.64670     0.050      3823      1755
  27.64056  27.64536     0.050      3833      1760
  27.63929  27.64411     0.050      3835      1761
  27.63802  27.64298     0.050      3829      1760
  27.63675  27.64189     0.050      3831      1761
  27.63548  27.64074     0.050      3839      1768
  27.63421  27.63942     0.050      3836      1765
  27.63294  27.63801     0.050      3837      1764
  27.63167  27.63661     0.050      3838      1768
  27.63040  27.63527     0.050      3845      1772
  27.62913  27.63403     0.050      3840      1769
  27.62786  27.63289     0.050      3841      1773
  27.62659  27.63180     0.050      3845      1776
  27.62532  27.63063     0.050      3831      1771
  27.62405  27.62930     0.050      3815      1763
  27.62278  27.62788     0.050      3823      1767
  27.62151  27.62649     0.050      3841      1778
  27.62024  27.62516     0.050      3841      1779
  27.61897  27.62393     0.050      3849      1781
  27.61770  27.62281     0.050      3855      1787
  27.61643  27.62172     0.050      3852      1785
  27.61516  27.62055     0.050      3855      1788
  27.61389  27.61921     0.050      3858      1789
  27.61262  27.61779     0.050      3857      1790
  27.61135  27.61640     0.050      3855      1790
  27.61008  27.61507     0.050      3858      1793
  27.60881  27.61384     0.050      3861      1794
  27.60754  27.61273     0.050      3858      1792
  27.60627  27.61164     0.050      3858      1793
  27.60500  27.61045     0.050      3867      1800
  27.60373  27.60911     0.050      3860      1799
  27.60246  27.60769     0.050      3861      1799
  27.60119  27.60629     0.050      3869      1803
  27.59992  27.60496     0.050      3868      1803
  27.59865  27.60374     0.050      3867      1802
  27.59738  27.60263     0.050      3866      1802
  27.59611  27.60153     0.050      3872      1806
  27.59484  27.60032     0.050      3868      1806
  27.59357  27.59897     0.050      3867      1807
  27.59230  27.59754     0.050      3877      1811
  27.59103  27.59616     0.050      3877      1812
  27.58976  27.59485     0.050      3871      1811
  27.58849  27.59365     0.050      3872      1813
  27.58722  27.59254     0.050      3875      1814
  27.58595  27.59145     0.050      3874      1816
  27.58468  27.59023     0.050      3867      1812
  27.58341  27.58886     0.050      3868      1812
  27.58214  27.58744     0.050      3832      1795
  27.58087  27.58606     0.050      3759      1763
  27.57960  27.58475     0.050      3848      1805
  27.57833  27.58356     0.050      3916      1837
  27.57706  27.58246     0.050      3904      1834
  27.57579  27.58135     0.050      3897      1832
  27.57452  27.58012     0.050      3905      1836
  27.57325  27.57874     0.050      3893      1831
  27.57198  27.57731     0.050      3891      1831
  27.57071  27.57593     0.050      3900      1837
  27.56944  27.57463     0.050      3893      1836
  27.56817  27.57345     0.050      3889      1831
  27.56690  27.57235     0.050      3884      1831
  27.56563  27.57125     0.050      3860      1820
  27.56436  27.57000     0.050      3698      1743
  27.56309  27.56861     0.050      3540      1670
  27.56182  27.56719     0.050      3792      1792
  27.56055  27.56582     0.050      3947      1864
  27.55928  27.56453     0.050      3947      1865
  27.55801  27.56336     0.050      3950      1866
  27.55674  27.56227     0.050      3942      1867
  27.55547  27.56116     0.050      3939      1865
  27.55420  27.55990     0.050      3946      1869
  27.55293  27.55850     0.050      3821      1810
  27.55166  27.55708     0.050      3648      1730
  27.55039  27.55571     0.050      3786      1795
  27.54912  27.55444     0.050      3901      1850
  27.54785  27.55327     0.050      3917      1860
  27.54658  27.55217     0.050      3916      1859
  27.54531  27.55105     0.050      3926      1866
  27.54404  27.54977     0.050      3929      1869
  27.54277  27.54836     0.050      3922      1866
  27.54150  27.54694     0.050      3926      1869
  27.54023  27.54558     0.050      3934      1873
  27.53896  27.54431     0.050      3930      1872
  27.53769  27.54316     0.050      3930      1873
  27.53642  27.54207     0.050      3939      1880
  27.53515  27.54093     0.050      3941      1881
  27.53388  27.53964     0.050      3936      1878
  27.53261  27.53823     0.050      3944      1883
  27.53134  27.53683     0.050      3947      1885
  27.53007  27.53548     0.050      3943      1884
  27.52880  27.53421     0.050      3942      1882
  27.52753  27.53307     0.050      3946      1889
  27.52626  27.53198     0.050      3947      1890
  27.52499  27.53083     0.050      3943      1889
  27.52372  27.52952     0.050      3952      1892
  27.52245  27.52811     0.050      3953      1897
  27.52118  27.52670     0.050      3951      1895
  27.51991  27.52535     0.050      3953      1896
  27.51864  27.52411     0.050      3961      1902
  27.51737  27.52297     0.050      3959      1902
  27.51610  27.52187     0.050      3953      1901
  27.51483  27.52071     0.050      3959      1903
  27.51356  27.51938     0.050      3963      1909
  27.51229  27.51795     0.050      3963      1906
  27.51102  27.51656     0.050      3965      1909
  27.50975  27.51522     0.050      3967      1911
  27.50848  27.51398     0.050      3970      1914
  27.50721  27.51285     0.050      3970      1915
  27.50594  27.51176     0.050      3952      1907
  27.50467  27.51060     0.050      3765      1819
  27.50340  27.50926     0.050      3717      1795
  27.50213  27.50785     0.050      3891      1881
  27.50086  27.50645     0.050      3936      1903
  27.49959  27.50512     0.050      3939      1905
  27.49832  27.50389     0.050      3939      1909
  27.49705  27.50277     0.050      3938      1906
  27.49578  27.50168     0.050      3926      1902
  27.49451  27.50050     0.050      3862      1873
  27.49324  27.49915     0.050      3621      1755
  27.49197  27.49772     0.050      3696      1793
  27.49070  27.49633     0.050      3969      1928
  27.48943  27.49501     0.050      4006      1944
  27.48816  27.49378     0.050      4002      1945
  27.48689  27.49266     0.050      4000      1943
  27.48562  27.49156     0.050      3990      1940
  27.48435  27.49036     0.050      3996      1941
  27.48308  27.48900     0.050      3991      1942
  27.48181  27.48758     0.050      3992      1944
  27.48054  27.48620     0.050      3991      1943
  27.47927  27.48488     0.050      3988      1945
  27.47800  27.48367     0.050      3978      1940
  27.47673  27.48257     0.050      3940      1923
  27.47546  27.48147     0.050      3873      1894
  27.47419  27.48025     0.050      3941      1926
  27.47292  27.47889     0.050      4022      1967
  27.47165  27.47747     0.050      4017      1963
  27.47038  27.47608     0.050      4019      1966
  27.46911  27.47477     0.050      4016      1967
  27.46784  27.47358     0.050      4017      1966
  27.46657  27.47248     0.050      4019      1966
  27.46530  27.47137     0.050      4021      1971
  27.46403  27.47015     0.050      4020      1970
  27.46276  27.46877     0.050      4018      1972
  27.46149  27.46735     0.050      4027      1975
  27.46022  27.46596     0.050      4025      1975
  27.45895  27.46466     0.050      4022      1975
  27.45768  27.46347     0.050      4025      1977
  27.45641  27.46237     0.050      4022      1978
  27.45514  27.46126     0.050      4030      1982
  27.45387  27.46001     0.050      4023      1981
