  9809     SPring-8 14b2 
 Ni-K_NiMoO4_Si  13.11.27 00:24 - 13.11.27 00:24
 NiMoO4                                                                          
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 14.51133 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4831
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.40000  11.50000    -0.000600       0.01      4831
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   166.800   115.300
  14.28600  14.28726     0.010      3856      3201
  14.28540  14.28677     0.010      3857      3201
  14.28480  14.28625     0.010      3859      3209
  14.28420  14.28570     0.010      3858      3211
  14.28360  14.28516     0.010      3865      3207
  14.28300  14.28460     0.010      3860      3210
  14.28240  14.28396     0.010      3863      3218
  14.28180  14.28327     0.010      3864      3214
  14.28120  14.28260     0.010      3854      3208
  14.28060  14.28197     0.010      3862      3218
  14.28000  14.28130     0.010      3858      3217
  14.27940  14.28063     0.010      3865      3218
  14.27880  14.27999     0.010      3867      3223
  14.27820  14.27940     0.010      3861      3222
  14.27760  14.27880     0.010      3865      3219
  14.27700  14.27821     0.010      3858      3218
  14.27640  14.27765     0.010      3863      3227
  14.27580  14.27715     0.010      3864      3228
  14.27520  14.27665     0.010      3866      3223
  14.27460  14.27612     0.010      3869      3231
  14.27400  14.27556     0.010      3866      3231
  14.27340  14.27501     0.010      3864      3227
  14.27280  14.27442     0.010      3863      3229
  14.27220  14.27375     0.010      3864      3234
  14.27160  14.27305     0.010      3867      3236
  14.27100  14.27238     0.010      3866      3233
  14.27040  14.27173     0.010      3872      3243
  14.26980  14.27106     0.010      3869      3242
  14.26920  14.27039     0.010      3871      3239
  14.26860  14.26977     0.010      3867      3241
  14.26800  14.26917     0.010      3870      3244
  14.26740  14.26858     0.010      3869      3241
  14.26680  14.26799     0.010      3873      3243
  14.26620  14.26746     0.010      3871      3248
  14.26560  14.26696     0.010      3869      3250
  14.26500  14.26645     0.010      3870      3247
  14.26440  14.26590     0.010      3872      3249
  14.26380  14.26535     0.010      3865      3251
  14.26320  14.26480     0.010      3870      3252
  14.26260  14.26419     0.010      3871      3249
  14.26200  14.26350     0.010      3871      3258
  14.26140  14.26281     0.010      3880      3261
  14.26080  14.26216     0.010      3872      3255
  14.26020  14.26151     0.010      3872      3257
  14.25960  14.26083     0.010      3866      3258
  14.25900  14.26017     0.010      3871      3257
  14.25840  14.25956     0.010      3883      3266
  14.25780  14.25897     0.010      3870      3264
  14.25720  14.25838     0.010      3874      3268
  14.25660  14.25781     0.010      3876      3264
  14.25600  14.25729     0.010      3873      3268
  14.25540  14.25679     0.010      3870      3265
  14.25480  14.25628     0.010      3874      3265
  14.25420  14.25573     0.010      3877      3271
  14.25360  14.25519     0.010      3880      3278
  14.25300  14.25462     0.010      3876      3274
  14.25240  14.25399     0.010      3878      3273
  14.25180  14.25329     0.010      3879      3277
  14.25120  14.25261     0.010      3873      3276
  14.25060  14.25197     0.010      3876      3272
  14.25000  14.25131     0.010      3879      3278
  14.24940  14.25064     0.010      3882      3287
  14.24880  14.24999     0.010      3881      3286
  14.24820  14.24940     0.010      3876      3278
  14.24760  14.24880     0.010      3880      3286
  14.24700  14.24821     0.010      3878      3287
  14.24640  14.24765     0.010      3883      3285
  14.24580  14.24714     0.010      3884      3292
  14.24520  14.24663     0.010      3881      3292
  14.24460  14.24610     0.010      3882      3291
  14.24400  14.24555     0.010      3882      3293
  14.24340  14.24500     0.010      3884      3296
  14.24280  14.24442     0.010      3881      3297
  14.24220  14.24376     0.010      3878      3294
  14.24160  14.24306     0.010      3887      3300
  14.24100  14.24239     0.010      3886      3305
  14.24040  14.24175     0.010      3880      3297
  14.23980  14.24107     0.010      3885      3300
  14.23920  14.24040     0.010      3887      3306
  14.23860  14.23978     0.010      3880      3303
  14.23800  14.23918     0.010      3888      3305
  14.23740  14.23858     0.010      3887      3307
  14.23680  14.23800     0.010      3883      3309
  14.23620  14.23746     0.010      3891      3311
  14.23560  14.23696     0.010      3883      3307
  14.23500  14.23645     0.010      3888      3318
  14.23440  14.23591     0.010      3887      3312
  14.23380  14.23535     0.010      3884      3308
  14.23320  14.23480     0.010      3889      3316
  14.23260  14.23419     0.010      3887      3321
  14.23200  14.23350     0.010      3890      3320
  14.23140  14.23280     0.010      3888      3322
  14.23080  14.23216     0.010      3888      3326
  14.23020  14.23150     0.010      3892      3322
  14.22960  14.23082     0.010      3893      3323
  14.22900  14.23017     0.010      3890      3324
  14.22840  14.22956     0.010      3892      3332
  14.22780  14.22897     0.010      3892      3326
  14.22720  14.22837     0.010      3894      3334
  14.22660  14.22780     0.010      3892      3335
  14.22600  14.22728     0.010      3884      3329
  14.22540  14.22679     0.010      3895      3332
  14.22480  14.22626     0.010      3893      3340
  14.22420  14.22572     0.010      3893      3338
  14.22360  14.22517     0.010      3900      3341
  14.22300  14.22461     0.010      3895      3340
  14.22240  14.22397     0.010      3895      3345
  14.22180  14.22327     0.010      3898      3341
  14.22120  14.22259     0.010      3897      3342
  14.22060  14.22195     0.010      3896      3348
  14.22000  14.22128     0.010      3899      3352
  14.21940  14.22060     0.010      3902      3348
  14.21880  14.21996     0.010      3902      3354
  14.21820  14.21936     0.010      3900      3355
  14.21760  14.21876     0.010      3901      3351
  14.21700  14.21816     0.010      3897      3350
  14.21640  14.21760     0.010      3896      3355
  14.21580  14.21710     0.010      3906      3360
  14.21520  14.21660     0.010      3904      3358
  14.21460  14.21606     0.010      3904      3360
  14.21400  14.21551     0.010      3903      3364
  14.21340  14.21496     0.010      3901      3359
  14.21280  14.21436     0.010      3904      3362
  14.21220  14.21369     0.010      3904      3368
  14.21160  14.21299     0.010      3902      3367
  14.21100  14.21233     0.010      3908      3365
  14.21040  14.21168     0.010      3903      3367
  14.20980  14.21100     0.010      3906      3370
  14.20920  14.21033     0.010      3909      3371
  14.20860  14.20971     0.010      3899      3367
  14.20800  14.20911     0.010      3907      3378
  14.20740  14.20851     0.010      3908      3375
  14.20680  14.20793     0.010      3909      3375
  14.20620  14.20739     0.010      3909      3379
  14.20560  14.20689     0.010      3907      3380
  14.20500  14.20637     0.010      3912      3378
  14.20440  14.20583     0.010      3906      3377
  14.20380  14.20528     0.010      3905      3383
  14.20320  14.20472     0.010      3913      3387
  14.20260  14.20409     0.010      3910      3383
  14.20200  14.20340     0.010      3911      3390
  14.20140  14.20272     0.010      3915      3396
  14.20080  14.20208     0.010      3915      3390
  14.20020  14.20142     0.010      3914      3394
  14.19960  14.20074     0.010      3909      3395
  14.19900  14.20009     0.010      3914      3393
  14.19840  14.19949     0.010      3917      3401
  14.19780  14.19890     0.010      3912      3400
  14.19720  14.19830     0.010      3917      3405
  14.19660  14.19773     0.010      3917      3401
  14.19600  14.19722     0.010      3913      3399
  14.19540  14.19672     0.010      3921      3409
  14.19480  14.19620     0.010      3915      3400
  14.19420  14.19565     0.010      3917      3407
  14.19360  14.19510     0.010      3918      3410
  14.19300  14.19453     0.010      3924      3415
  14.19240  14.19388     0.010      3919      3411
  14.19180  14.19318     0.010      3921      3414
  14.19120  14.19250     0.010      3918      3417
  14.19060  14.19185     0.010      3921      3416
  14.19000  14.19118     0.010      3917      3412
  14.18940  14.19051     0.010      3925      3424
  14.18880  14.18987     0.010      3924      3424
  14.18820  14.18927     0.010      3919      3419
  14.18760  14.18867     0.010      3920      3422
  14.18700  14.18808     0.010      3919      3425
  14.18640  14.18753     0.010      3922      3421
  14.18580  14.18703     0.010      3928      3429
  14.18520  14.18652     0.010      3924      3433
  14.18460  14.18598     0.010      3929      3434
  14.18400  14.18543     0.010      3927      3429
  14.18340  14.18488     0.010      3923      3429
  14.18280  14.18427     0.010      3925      3436
  14.18220  14.18359     0.010      3927      3433
  14.18160  14.18290     0.010      3929      3437
  14.18100  14.18224     0.010      3934      3444
  14.18040  14.18159     0.010      3931      3440
  14.17980  14.18091     0.010      3929      3441
  14.17920  14.18024     0.010      3927      3442
  14.17860  14.17962     0.010      3924      3442
  14.17800  14.17903     0.010      3935      3448
  14.17740  14.17843     0.010      3935      3450
  14.17680  14.17785     0.010      3931      3450
  14.17620  14.17732     0.010      3936      3451
  14.17560  14.17683     0.010      3933      3451
  14.17500  14.17631     0.010      3933      3457
  14.17440  14.17576     0.010      3931      3454
  14.17380  14.17521     0.010      3930      3451
  14.17320  14.17465     0.010      3938      3461
  14.17260  14.17402     0.010      3939      3467
  14.17200  14.17333     0.010      3937      3462
  14.17140  14.17265     0.010      3936      3461
  14.17080  14.17201     0.010      3937      3471
  14.17020  14.17134     0.010      3941      3468
  14.16960  14.17066     0.010      3935      3461
  14.16900  14.17002     0.010      3939      3471
  14.16840  14.16942     0.010      3943      3478
  14.16780  14.16883     0.010      3943      3471
  14.16720  14.16823     0.010      3939      3472
  14.16660  14.16767     0.010      3943      3479
  14.16600  14.16716     0.010      3938      3476
  14.16540  14.16666     0.010      3945      3479
  14.16480  14.16613     0.010      3944      3482
  14.16420  14.16558     0.010      3942      3485
  14.16360  14.16503     0.010      3946      3486
  14.16300  14.16444     0.010      3944      3485
  14.16240  14.16378     0.010      3955      3497
  14.16180  14.16307     0.010      3942      3484
  14.16120  14.16241     0.010      3942      3486
  14.16060  14.16175     0.010      3952      3501
  14.16000  14.16108     0.010      3949      3497
  14.15940  14.16041     0.010      3946      3490
  14.15880  14.15978     0.010      3952      3499
  14.15820  14.15918     0.010      3947      3503
  14.15760  14.15858     0.010      3952      3499
  14.15700  14.15798     0.010      3947      3496
  14.15640  14.15744     0.010      3948      3505
  14.15580  14.15695     0.010      3955      3508
  14.15520  14.15643     0.010      3954      3506
  14.15460  14.15588     0.010      3956      3515
  14.15400  14.15533     0.010      3953      3510
  14.15340  14.15478     0.010      3947      3506
  14.15280  14.15416     0.010      3958      3513
  14.15220  14.15346     0.010      3957      3516
  14.15160  14.15277     0.010      3953      3518
  14.15100  14.15212     0.010      3961      3518
  14.15040  14.15146     0.010      3956      3521
  14.14980  14.15078     0.010      3953      3521
  14.14920  14.15012     0.010      3959      3519
  14.14860  14.14952     0.010      3957      3521
  14.14800  14.14892     0.010      3961      3526
  14.14740  14.14832     0.010      3962      3527
  14.14680  14.14776     0.010      3960      3528
  14.14620  14.14725     0.010      3964      3533
  14.14560  14.14675     0.010      3955      3531
  14.14500  14.14623     0.010      3957      3530
  14.14440  14.14568     0.010      3959      3528
  14.14380  14.14514     0.010      3955      3532
  14.14320  14.14457     0.010      3961      3537
  14.14260  14.14393     0.010      3965      3535
  14.14200  14.14323     0.010      3962      3539
  14.14140  14.14256     0.010      3961      3545
  14.14080  14.14192     0.010      3962      3538
  14.14020  14.14125     0.010      3964      3543
  14.13960  14.14057     0.010      3958      3543
  14.13900  14.13994     0.010      3960      3543
  14.13840  14.13934     0.010      3966      3549
  14.13780  14.13874     0.010      3970      3553
  14.13720  14.13815     0.010      3961      3549
  14.13660  14.13759     0.010      3964      3547
  14.13600  14.13709     0.010      3965      3549
  14.13540  14.13658     0.010      3961      3552
  14.13480  14.13605     0.010      3962      3553
  14.13420  14.13549     0.010      3970      3558
  14.13360  14.13495     0.010      3969      3559
  14.13300  14.13436     0.010      3965      3561
  14.13240  14.13369     0.010      3965      3558
  14.13180  14.13299     0.010      3970      3565
  14.13120  14.13233     0.010      3962      3560
  14.13060  14.13169     0.010      3967      3562
  14.13000  14.13101     0.010      3971      3567
  14.12940  14.13033     0.010      3970      3568
  14.12880  14.12971     0.010      3966      3569
  14.12820  14.12912     0.010      3970      3569
  14.12760  14.12852     0.010      3968      3569
  14.12700  14.12793     0.010      3964      3572
  14.12640  14.12740     0.010      3968      3570
  14.12580  14.12690     0.010      3976      3575
  14.12520  14.12638     0.010      3973      3581
  14.12460  14.12583     0.010      3974      3581
  14.12400  14.12528     0.010      3980      3584
  14.12340  14.12471     0.010      3972      3582
  14.12280  14.12409     0.010      3970      3583
  14.12220  14.12340     0.010      3974      3583
  14.12160  14.12271     0.010      3981      3591
  14.12100  14.12206     0.010      3980      3594
  14.12040  14.12140     0.010      3978      3589
  14.11980  14.12072     0.010      3981      3594
  14.11920  14.12007     0.010      3981      3595
  14.11860  14.11947     0.010      3974      3592
  14.11800  14.11887     0.010      3979      3596
  14.11740  14.11828     0.010      3980      3598
  14.11680  14.11772     0.010      3987      3608
  14.11620  14.11721     0.010      3982      3602
  14.11560  14.11671     0.010      3989      3606
  14.11500  14.11618     0.010      3980      3605
  14.11440  14.11563     0.010      3981      3609
  14.11380  14.11509     0.010      3982      3607
  14.11320  14.11452     0.010      3982      3607
  14.11260  14.11387     0.010      3982      3614
  14.11200  14.11317     0.010      3992      3615
  14.11140  14.11250     0.010      3989      3613
  14.11080  14.11186     0.010      3981      3613
  14.11020  14.11119     0.010      3979      3612
  14.10960  14.11052     0.010      3983      3613
  14.10900  14.10988     0.010      3987      3621
  14.10840  14.10929     0.010      3990      3626
  14.10780  14.10869     0.010      3988      3623
  14.10720  14.10810     0.010      3992      3623
  14.10660  14.10755     0.010      3985      3623
  14.10600  14.10705     0.010      3982      3621
  14.10540  14.10655     0.010      3993      3628
  14.10480  14.10601     0.010      3988      3631
  14.10420  14.10546     0.010      3988      3635
  14.10360  14.10491     0.010      3997      3637
  14.10300  14.10432     0.010      3990      3633
  14.10240  14.10364     0.010      3987      3634
  14.10180  14.10294     0.010      3995      3637
  14.10120  14.10228     0.010      3992      3636
  14.10060  14.10163     0.010      3995      3642
  14.10000  14.10095     0.010      3990      3644
  14.09940  14.10028     0.010      4001      3648
  14.09880  14.09966     0.010      3995      3646
  14.09820  14.09905     0.010      3991      3649
  14.09760  14.09845     0.010      3995      3649
  14.09700  14.09786     0.010      3996      3650
  14.09640  14.09732     0.010      3994      3649
  14.09580  14.09682     0.010      3999      3654
  14.09520  14.09629     0.010      4005      3659
  14.09460  14.09573     0.010      4007      3664
  14.09400  14.09518     0.010      4002      3665
  14.09340  14.09461     0.010      4001      3659
  14.09280  14.09396     0.010      4005      3662
  14.09220  14.09326     0.010      4003      3665
  14.09160  14.09257     0.010      4007      3672
  14.09100  14.09192     0.010      4009      3670
  14.09040  14.09126     0.010      4005      3668
  14.08980  14.09058     0.010      4006      3677
  14.08920  14.08994     0.010      4008      3674
  14.08860  14.08933     0.010      4010      3675
  14.08800  14.08873     0.010      4006      3677
  14.08740  14.08814     0.010      4008      3679
  14.08680  14.08758     0.010      4014      3684
  14.08620  14.08708     0.010      4020      3691
  14.08560  14.08658     0.010      4015      3692
  14.08500  14.08604     0.010      4016      3688
  14.08440  14.08548     0.010      4011      3684
  14.08380  14.08494     0.010      4009      3690
  14.08320  14.08434     0.010      4017      3697
  14.08260  14.08366     0.010      4021      3695
  14.08200  14.08297     0.010      4012      3695
  14.08140  14.08230     0.010      4017      3705
  14.08080  14.08165     0.010      4022      3701
  14.08020  14.08097     0.010      4017      3700
  14.07960  14.08029     0.010      4016      3702
  14.07900  14.07967     0.010      4018      3706
  14.07840  14.07907     0.010      4030      3710
  14.07780  14.07847     0.010      4021      3710
  14.07720  14.07788     0.010      4021      3712
  14.07660  14.07735     0.010      4026      3709
  14.07600  14.07684     0.010      4022      3711
  14.07540  14.07632     0.010      4019      3714
  14.07480  14.07576     0.010      4027      3718
  14.07420  14.07521     0.010      4024      3717
  14.07360  14.07464     0.010      4027      3722
  14.07300  14.07399     0.010      4026      3725
  14.07240  14.07328     0.010      4030      3725
  14.07180  14.07259     0.010      4021      3722
  14.07120  14.07194     0.010      4027      3730
  14.07060  14.07127     0.010      4027      3723
  14.07000  14.07058     0.010      4028      3727
  14.06940  14.06994     0.010      4029      3733
  14.06880  14.06933     0.010      4034      3742
  14.06820  14.06873     0.010      4033      3735
  14.06760  14.06813     0.010      4028      3730
  14.06700  14.06757     0.010      4026      3738
  14.06640  14.06707     0.010      4043      3747
  14.06580  14.06656     0.010      4033      3738
  14.06520  14.06602     0.010      4033      3746
  14.06460  14.06547     0.010      4039      3751
  14.06400  14.06492     0.010      4035      3745
  14.06340  14.06432     0.010      4032      3747
  14.06280  14.06365     0.010      4036      3753
  14.06220  14.06295     0.010      4035      3746
  14.06160  14.06229     0.010      4040      3756
  14.06100  14.06164     0.010      4039      3755
  14.06040  14.06096     0.010      4039      3761
  14.05980  14.06030     0.010      4040      3754
  14.05920  14.05968     0.010      4035      3757
  14.05860  14.05908     0.010      4040      3764
  14.05800  14.05849     0.010      4038      3759
  14.05740  14.05791     0.010      4034      3758
  14.05680  14.05737     0.010      4049      3775
  14.05620  14.05687     0.010      4045      3769
  14.05560  14.05636     0.010      4047      3769
  14.05500  14.05581     0.010      4041      3770
  14.05440  14.05526     0.010      4041      3773
  14.05380  14.05469     0.010      4045      3770
  14.05320  14.05407     0.010      4045      3773
  14.05260  14.05337     0.010      4048      3783
  14.05200  14.05268     0.010      4048      3784
  14.05140  14.05202     0.010      4046      3778
  14.05080  14.05136     0.010      4046      3786
  14.05020  14.05068     0.010      4045      3783
  14.04960  14.05003     0.010      4045      3783
  14.04900  14.04942     0.010      4052      3787
  14.04840  14.04882     0.010      4056      3797
  14.04780  14.04822     0.010      4051      3790
  14.04720  14.04766     0.010      4055      3794
  14.04660  14.04715     0.010      4053      3800
  14.04600  14.04665     0.010      4045      3793
  14.04540  14.04611     0.010      4052      3796
  14.04480  14.04556     0.010      4054      3799
  14.04420  14.04500     0.010      4056      3808
  14.04360  14.04442     0.010      4053      3800
  14.04300  14.04375     0.010      4054      3801
  14.04240  14.04304     0.010      4058      3811
  14.04180  14.04237     0.010      4054      3806
  14.04120  14.04172     0.010      4050      3801
  14.04060  14.04104     0.010      4060      3816
  14.04000  14.04036     0.010      4055      3814
  14.03940  14.03974     0.010      4063      3815
  14.03880  14.03914     0.010      4065      3820
  14.03820  14.03853     0.010      4060      3824
  14.03760  14.03795     0.010      4061      3819
