  9809     SPring-8 14b2 
 Fe-K_Fe3N_Si11  12.11.17 12:54 - 12.11.17 12:58
 Fe3N                                                                            
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle= 17.09994 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4522
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       17.00000  13.20000    -0.000840       0.05      4522
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   481.200   358.400
  16.85048  16.85394     0.051     11563      7098
  16.84964  16.85306     0.051     11576      7109
  16.84880  16.85224     0.051     11572      7106
  16.84796  16.85143     0.051     11570      7112
  16.84712  16.85067     0.051     11581      7116
  16.84628  16.84998     0.051     11575      7115
  16.84544  16.84927     0.051     11582      7126
  16.84460  16.84852     0.051     11577      7121
  16.84376  16.84776     0.051     11588      7136
  16.84292  16.84690     0.051     11582      7130
  16.84208  16.84597     0.051     11580      7137
  16.84124  16.84507     0.051     11589      7144
  16.84040  16.84416     0.051     11580      7142
  16.83956  16.84326     0.051     11594      7149
  16.83872  16.84242     0.051     11586      7145
  16.83788  16.84160     0.051     11596      7156
  16.83704  16.84082     0.051     11589      7157
  16.83620  16.84012     0.051     11596      7163
  16.83536  16.83941     0.051     11605      7166
  16.83452  16.83868     0.051     11595      7169
  16.83368  16.83793     0.051     11606      7175
  16.83284  16.83708     0.051     11599      7173
  16.83200  16.83616     0.051     11607      7180
  16.83116  16.83526     0.051     11610      7185
  16.83032  16.83436     0.051     11608      7184
  16.82948  16.83346     0.051     11617      7193
  16.82864  16.83261     0.051     11612      7189
  16.82780  16.83179     0.051     11618      7202
  16.82696  16.83100     0.051     11616      7198
  16.82612  16.83029     0.051     11624      7208
  16.82528  16.82959     0.051     11619      7207
  16.82444  16.82886     0.051     11619      7209
  16.82360  16.82812     0.051     11625      7218
  16.82276  16.82731     0.051     11622      7213
  16.82192  16.82640     0.051     11631      7226
  16.82108  16.82549     0.051     11625      7225
  16.82024  16.82460     0.051     11634      7234
  16.81940  16.82369     0.051     11632      7232
  16.81856  16.82283     0.051     11632      7239
  16.81772  16.82201     0.051     11638      7245
  16.81688  16.82121     0.051     11632      7240
  16.81604  16.82047     0.051     11643      7250
  16.81520  16.81977     0.051     11637      7251
  16.81436  16.81905     0.051     11644      7260
  16.81352  16.81830     0.051     11642      7261
  16.81268  16.81751     0.051     11645      7266
  16.81184  16.81661     0.051     11654      7271
  16.81100  16.81569     0.051     11643      7270
  16.81016  16.81480     0.051     11656      7277
  16.80932  16.81388     0.051     11651      7276
  16.80848  16.81300     0.051     11656      7284
  16.80764  16.81218     0.051     11652      7285
  16.80680  16.81137     0.051     11650      7288
  16.80596  16.81062     0.051     11663      7299
  16.80512  16.80992     0.051     11652      7292
  16.80428  16.80921     0.051     11664      7301
  16.80344  16.80847     0.051     11657      7300
  16.80260  16.80770     0.051     11664      7306
  16.80176  16.80682     0.051     11666      7312
  16.80092  16.80590     0.051     11661      7315
  16.80008  16.80501     0.051     11673      7322
  16.79924  16.80410     0.051     11668      7317
  16.79840  16.80321     0.051     11678      7326
  16.79756  16.80238     0.051     11669      7328
  16.79672  16.80157     0.051     11684      7339
  16.79588  16.80080     0.051     11675      7339
  16.79504  16.80010     0.051     11676      7341
  16.79420  16.79939     0.051     11689      7349
  16.79336  16.79865     0.051     11679      7345
  16.79252  16.79789     0.051     11686      7357
  16.79168  16.79705     0.051     11685      7356
  16.79084  16.79613     0.051     11693      7364
  16.79000  16.79523     0.051     11692      7364
  16.78916  16.79433     0.051     11692      7366
  16.78832  16.79342     0.051     11700      7376
  16.78748  16.79258     0.051     11693      7373
  16.78664  16.79176     0.051     11699      7380
  16.78580  16.79097     0.051     11699      7381
  16.78496  16.79025     0.051     11707      7389
  16.78412  16.78955     0.051     11704      7394
  16.78328  16.78881     0.051     11704      7393
  16.78244  16.78806     0.051     11714      7404
  16.78160  16.78723     0.051     11708      7400
  16.78076  16.78631     0.051     11718      7409
  16.77992  16.78540     0.051     11713      7408
  16.77908  16.78450     0.051     11721      7415
  16.77824  16.78360     0.051     11719      7419
  16.77740  16.78274     0.051     11718      7419
  16.77656  16.78192     0.051     11726      7431
