   9809     AichiSR  BL5S1
 Ref Ti4O7       22.09.16 10:16 - 22.09.16 10:18
                                                                                 
 Ring :   1.2 GeV   300.2 mA -  300.3 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 23.66393 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4632
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        4665.33   6065.33        0.30       0.02      4634
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4466.100 10608.300 72342.100
  24.85950  24.86038    0.0234   6179604   1136842    558563
  24.85819  24.85907    0.0234   6176294   1134992    553331
  24.85689  24.85777    0.0234   6177994   1135502    562242
  24.85558  24.85645    0.0234   6177794   1135602    563179
  24.85428  24.85511    0.0234   6172294   1138032    565487
  24.85297  24.85380    0.0234   6167294   1139182    562256
  24.85167  24.85254    0.0234   6165334   1140222    554216
  24.85036  24.85126    0.0234   6158484   1139952    556486
  24.84906  24.84995    0.0234   6151714   1137572    559640
  24.84775  24.84864    0.0234   6151824   1136532    569218
  24.84644  24.84733    0.0234   6149944   1138452    564217
  24.84514  24.84599    0.0234   6148134   1138492    569526
  24.84383  24.84464    0.0234   6149684   1139572    568974
  24.84253  24.84335    0.0234   6165334   1143682    564256
  24.84122  24.84208    0.0234   6174754   1146572    566641
  24.83992  24.84077    0.0234   6187984   1149412    569180
  24.83861  24.83945    0.0234   6197564   1152532    571142
  24.83731  24.83814    0.0234   6207724   1153922    571719
  24.83600  24.83683    0.0234   6211724   1158192    579912
  24.83469  24.83549    0.0234   6215684   1157952    587259
  24.83339  24.83415    0.0234   6223494   1164572    578143
  24.83208  24.83288    0.0234   6228074   1160922    578014
  24.83078  24.83161    0.0234   6230684   1164962    578681
  24.82947  24.83030    0.0234   6236454   1168422    589491
  24.82817  24.82899    0.0234   6236344   1168732    586913
  24.82686  24.82769    0.0234   6240384   1169032    584682
  24.82556  24.82637    0.0234   6241494   1172112    577181
  24.82425  24.82503    0.0234   6243114   1172152    584413
  24.82294  24.82372    0.0234   6242414   1173192    578874
  24.82164  24.82247    0.0234   6242644   1174732    581528
  24.82033  24.82117    0.0234   6241384   1175502    587400
  24.81903  24.81985    0.0234   6238344   1175882    582413
  24.81772  24.81854    0.0234   6238454   1176462    587721
  24.81642  24.81722    0.0234   6239764   1178302    587529
  24.81511  24.81589    0.0234   6236074   1180342    583067
  24.81381  24.81454    0.0234   6234534   1178652    584451
  24.81250  24.81325    0.0234   6237034   1179112    591299
  24.81119  24.81197    0.0234   6235344   1179922    589644
  24.80989  24.81066    0.0234   6234994   1181502    596376
  24.80858  24.80935    0.0234   6231194   1181432    592401
  24.80728  24.80804    0.0234   6230034   1182302    588644
  24.80597  24.80672    0.0234   6228224   1182382    589067
  24.80467  24.80538    0.0234   6225304   1184542    586413
  24.80336  24.80406    0.0234   6221304   1182382    595684
  24.80206  24.80279    0.0234   6216874   1183112    596415
  24.80075  24.80152    0.0234   6213264   1184732    598492
  24.79944  24.80021    0.0234   6207454   1183772    603031
  24.79814  24.79890    0.0234   6201334   1183652    594414
  24.79683  24.79760    0.0234   6199884   1183162    596210
  24.79553  24.79629    0.0234   6200104   1186382    592414
  24.79422  24.79494    0.0234   6200564   1186232    599838
  24.79292  24.79364    0.0234   6206954   1188962    590760
  24.79161  24.79238    0.0234   6223954   1193272    606955
  24.79031  24.79107    0.0234   6234954   1195152    606301
  24.78900  24.78975    0.0234   6243574   1199152    609378
  24.78769  24.78844    0.0234   6254264   1201272    608570
  24.78639  24.78713    0.0234   6260884   1204232    608455
  24.78508  24.78579    0.0234   6266534   1206462    608763
  24.78378  24.78444    0.0234   6273704   1206592    604250
  24.78247  24.78316    0.0234   6276304   1210692    605455
  24.78117  24.78188    0.0234   6280234   1212122    606801
  24.77986  24.78057    0.0234   6286114   1215002    617649
  24.77856  24.77926    0.0234   6288234   1216162    626958
  24.77725  24.77796    0.0234   6290544   1218232    621496
  24.77594  24.77664    0.0234   6292614   1218932    618380
  24.77464  24.77530    0.0234   6294354   1219662    622149
  24.77333  24.77398    0.0234   6293154   1217772    613879
  24.77203  24.77272    0.0234   6289744   1219432    615944
  24.77072  24.77144    0.0234   6293354   1222622    622534
  24.76942  24.77013    0.0234   6289694   1223462    613379
  24.76811  24.76882    0.0234   6286194   1223082    615495
  24.76681  24.76753    0.0234   6284074   1223732    622803
  24.76550  24.76621    0.0234   6286614   1225662    633267
  24.76419  24.76486    0.0234   6284654   1224772    631228
  24.76289  24.76355    0.0234   6281574   1228002    634151
  24.76158  24.76228    0.0234   6285654   1227582    621726
  24.76028  24.76097    0.0234   6283594   1227402    621984
  24.75897  24.75965    0.0234   6282734   1228662    625073
  24.75767  24.75834    0.0234   6281384   1228272    633074
  24.75636  24.75703    0.0234   6280304   1230892    635844
  24.75506  24.75569    0.0234   6277574   1231082    635036
  24.75375  24.75435    0.0234   6272804   1232772    631997
  24.75244  24.75307    0.0234   6269964   1233932    633420
  24.75114  24.75179    0.0234   6264344   1231972    627458
  24.74983  24.75049    0.0234   6259844   1234202    638075
  24.74853  24.74918    0.0234   6255274   1232862    634679
  24.74722  24.74787    0.0234   6251154   1234352    641960
  24.74592  24.74655    0.0234   6251534   1232392    637190
  24.74461  24.74521    0.0234   6250884   1235622    628035
  24.74331  24.74389    0.0234   6250344   1235472    627496
  24.74200  24.74263    0.0234   6262844   1239082    627112
  24.74069  24.74135    0.0234   6279074   1243742    631882
  24.73939  24.74004    0.0234   6289774   1244162    644422
